'4', 'Плитка для ванной'
'14', 'Ванны и гидромассажные ванны'
'15', 'Мебель для ванной'
'16', 'Смесители'
'19', 'Душевые кабины'
'20', 'Гидромассажные боксы'
'70', 'Мобильные телефоны'
'71', 'Ноутбуки и нетбуки'
'73', 'Фотоаппараты'
'74', 'Мониторы'
'75', 'Видеокамеры'
'76', 'Принтеры и МФУ'
'77', 'Телевизоры'
'78', 'Холодильники'
'79', 'Стиральные машины'
'80', 'Микроволновые печи'
'81', 'Обогреватели'
'82', 'Пылесосы'
'83', 'Планшетные ПК'
'84', 'Утюги'
'85', 'Швейные машины'
'86', 'Аэрогрили'
'87', 'Блендеры'
'88', 'Блинницы'
'89', 'Духовые шкафы'
'90', 'Рабочие поверхности'
'91', 'Вытяжки'
'92', 'Кофеварки и кофемашины'
'93', 'Кофемолки'
'94', 'Кухонные весы'
'95', 'Кухонные комбайны'
'96', 'Миксеры'
'97', 'Мясорубки'
'98', 'Пароварки'
'99', 'Плиты'
'100', 'Посудомоечные машины'
'101', 'Соковыжималки'
'102', 'Тостеры'
'103', 'Фритюрницы'
'104', 'Хлебопечки'
'105', 'Электроварки'
'106', 'Электрочайники и термопоты'
'107', 'Йогуртницы'
'108', 'Сушильные машины'
'109', 'Пароочистители, парогенераторы'
'110', 'Мойки'
'111', 'Факсы'
'113', 'Сканеры'
'115', 'Грили'
'116', 'Барбекю'
'117', 'MP3/MP4-плееры'
'118', 'Электронные книги'
'119', 'Цифровые фоторамки'
'120', 'Измельчители'
'121', 'Бутербродницы'
'122', 'GPS-навигаторы'
'123', 'Игровые приставки и манипуляторы'
'124', 'Акустические системы'
'125', 'Электропечи'
'126', 'Напольные весы'
'127', 'Мультиварки'
'128', 'Видеорегистраторы'
'129', 'Эхолоты'
'130', 'Фены'
'131', 'Яйцеварки'
'132', 'Ломтерезки'
'133', 'Мозаика'
'134', 'Керамогранит'
'135', 'Вентиляторы'
'136', 'Полотенцесушители'
'137', 'Видеомагнитофоны'
'138', 'Душевые гарнитуры'
'142', 'Чайники обычные'
'143', 'Флеш память USB'
'144', 'Электросковородки'
'145', 'Электробритвы'
'146', 'Эпиляторы'
'147', 'Клинкер'
'148', 'Кухонные мойки'
'149', 'Водонагреватели'
'150', 'Кондиционеры'
'151', 'Машинки для стрижки и триммеры'
'152', 'Осушители воздуха'
'153', 'Наушники'
'154', 'Авто-магнитолы'
'155', 'Проигрыватели'
'156', 'Магнитолы'
'157', 'Домашние кинотеатры'
'158', 'Музыкальные центры'
'159', 'Диктофоны'
'160', 'Ионизаторы'
'161', 'Воздухоочистители'
'162', 'Радиотелефоны'
'163', 'Проводные телефоны'
'164', 'Увлажнители воздуха'
'165', 'Кулеры для воды'
'166', '3D-очки'
'167', 'Портативные DVD'
'168', 'Компьютеры-моноблоки'
'169', 'Проекторы'
'170', 'Сканеры штрих-кода'
'171', 'Массажное оборудование'
'172', 'Мороженицы'
'173', 'Плойки и выпрямители для волос'
'174', 'Сушилки для овощей и фруктов'
'175', 'Графические планшеты'
'176', 'Домофоны'
'179', 'Микрофоны'
'180', 'Часы'
'181', 'Радиоприёмники'
'182', 'АТС'
'183', 'IP-телефоны'
'184', 'Ресиверы'
'186', 'Шкафы для подогрева посуды'
'187', 'Автомобильные MP3-FM модуляторы'
'191', 'Медиаплееры'
'205', 'Источники бесперебойного питания'
'216', 'WEB-камеры'
'231', 'Бигуди'
'237', 'Котлы'
'240', 'Винные шкафы'
'267', 'Электроплитки'
'275', 'Унитазы'
'276', 'Раковины'
'286', 'Биде'
'287', 'Инсталляции'
'289', 'Уничтожители насекомых'
'290', 'Сетевые коммутаторы'
'291', 'Кухонная посуда'
'292', 'Кухонные ножи и принадлежности'
'293', 'Объективы'
'294', 'Рации'
'295', 'Воздуходувки'
'296', 'Кухонные аксессуары'
'297', 'Столовая и фарфоровая посуда'
'298', 'Столовые приборы'
'299', 'Фарфоровая посуда'
'303', 'Сопутствующие для ноутбуков'
'304', 'Сумки для ноутбуков'
'305', 'Расходные материалы'
'308', 'Автомобильные масла'
'309', 'Чехлы для ноутбуков'
'310', 'Программное обеспечение'
'311', 'Сумки хозяйственные'
'312', 'Сопутствующие для Планшетов'
'313', 'Блоки питания'
'315', 'Защитные плёнки/стёкла'
'316', 'Сопутствующие для Мобильных'
'317', 'Дата-кабели'
'318', 'Чехлы для мобильных телефонов'
'320', 'Зарядные устройства '
'321', 'Адаптеры автомобильные'
'322', 'Оперативная память'
'323', 'Сопутствующие для Мониторов'
'324', 'Гарнитуры'
'325', 'Сопутствующие для Телевизоров'
'326', 'Кронштейны'
'327', 'Видеокарты'
'328', 'Системы охлажедения для ПК'
'329', 'Материнские платы'
'330', 'Процессоры'
'331', 'Жесткие диски и SSD'
'333', 'Сетевые фильтры'
'334', 'Сопутствующие для фототехники'
'335', 'Штативы'
'336', 'Сумки, чехлы для фото-видео техники'
'338', 'Гладильные доски'
'339', 'Диски CD, DVD'
'341', 'Сопутствующие для Жестких дисков'
'342', 'Интерактивные доски'
'343', 'Сопутствующие к Проекторам'
'344', 'Сопутствующие к Пылесосам'
'345', 'USB концентраторы'
'347', 'Тюнеры'
'349', 'Сетевое и Wi-Fi оборудование'
'350', 'Сетевые карты'
'351', 'Маникюрные наборы'
'352', 'Тонометры'
'353', 'Звуковые карты'
'354', 'Модемы'
'356', 'Зарядные устройства для ноутбуков'
'357', 'Зарядные устройства для мобильных телефонов и планшетов'
'358', 'Модули памяти для ПК'
'359', 'Внешние ODD и FDD'
'360', 'Аккумуляторы для ИБП'
'361', 'Аккумуляторы'
'363', 'Измельчители пищевых отходов'
'364', 'Щетки для чистки одежды'
'366', 'Фильтры для воды'
'367', 'Стабилизаторы напряжения'
'368', 'Сопутствующие к Вытяжкам'
'369', 'Аксессуары для бытовой техники'
'370', 'Сопутствующие для Планшетов утюгов'
'371', 'Бинокли'
'372', 'Подзорные трубы'
'373', 'Телескопы'
'374', 'Микросокопы'
'375', 'Тренажёры'
'376', 'Матрасы'
'377', 'Лодки'
'378', 'Бассейны'
'379', 'Статуэтки'
'380', 'Всё для чистки обуви'
'381', 'Парикмахерские наборы'
'382', 'Детекторы валют'
'383', 'Счётчики купюр'
'384', 'Уничтожители бумаг'
'385', 'Анти радары'
'387', 'Подставки для ноутбуков и мониторов'
'388', 'СНПЧ'
'389', 'Фонари'
'390', 'Детское питание'
'391', 'Уход за детьми'
'392', 'Накамерные мониторы'
'393', 'Маринаторы'
'394', 'Двигатели для техники'
'395', 'Мотоблоки'
'396', 'Мотокультиваторы'
'397', 'Навесное оборудование'
'398', 'Прицепы для мотоблоков'
'399', 'Аэраторы и скарификаторы'
'400', 'Газонокосилки'
'402', 'Высоторезы'
'403', 'Кусторезы и ножницы'
'404', 'Мотокосы, триммеры'
'407', 'Тачки'
'408', 'Электротележки'
'410', 'Измельчители веток'
'411', 'Сенокосилки'
'413', 'Тракторы-газонокосилки, райдеры'
'414', 'Опрыскиватели'
'415', 'Мотопомпы'
'416', 'Насосы, станции водоснабжения'
'417', 'Буры'
'418', 'Мотобуры'
'419', 'Альтернативные источники энергии'
'420', 'Генераторы, электростанции'
'421', 'Биотуалеты'
'422', 'Снегоуборщики'
'424', 'Ветряные генераторы'
'425', 'Теплицы'
'429', 'Автопогрузчики вилочные'
'430', 'Тракторы'
'431', 'Мотоциклы грузовые'
'432', 'Принадлежности генераторов'
